ntasks,global_data_size,parallel_time,serial_time
138,10000000,0.228971,2.034865
138,10000000,0.170717,2.060161
138,10000000,0.239292,2.031916
138,10000000,0.220422,2.122705
138,10000000,0.180964,2.061853
140,10000000,0.172608,2.123931
140,10000000,0.171416,2.151452
140,10000000,0.167595,2.097072
140,10000000,0.171086,2.039778
140,10000000,0.172062,2.042532
140,10000000,0.167470,2.038020
140,10000000,0.169693,2.102411
140,10000000,0.171948,2.036991
140,10000000,0.175785,2.087812
140,10000000,0.172345,2.128621
142,10000000,0.173248,2.039935
142,10000000,0.178296,2.041120
142,10000000,0.172165,2.041259
142,10000000,0.171803,2.041129
142,10000000,0.169748,2.040247
142,10000000,0.171931,2.042810
142,10000000,0.175029,2.034402
142,10000000,0.175981,2.042925
142,10000000,0.175568,2.099947
142,10000000,0.182644,2.036665
144,10000000,0.176875,2.072495
144,10000000,0.172352,2.040272
144,10000000,0.173765,2.041841
144,10000000,0.172885,2.076047
144,10000000,0.174999,2.039764
144,10000000,0.177739,2.042508
144,10000000,0.175067,2.135777
144,10000000,0.180901,2.042834
144,10000000,0.176954,2.039060
144,10000000,0.185086,2.091085
146,10000000,0.181170,2.052848
146,10000000,0.186444,2.044691
146,10000000,0.189237,2.033800
146,10000000,0.184137,2.057416
146,10000000,0.183374,2.101391
146,10000000,0.186689,2.096103
146,10000000,0.179905,2.064101
146,10000000,0.181780,2.072699
146,10000000,0.183050,2.043892
146,10000000,0.179928,2.068738
148,10000000,0.187646,2.044654
148,10000000,0.182831,2.056460
148,10000000,0.184950,2.041068
148,10000000,0.182844,2.041112
148,10000000,0.181876,2.041382
148,10000000,0.185286,2.047822
148,10000000,0.185333,2.059289
148,10000000,0.182052,2.033739
148,10000000,0.183709,2.054698
148,10000000,0.181754,2.113045
150,10000000,0.185298,2.039517
150,10000000,0.191269,2.046123
150,10000000,0.185745,2.067883
150,10000000,0.194962,2.036832
150,10000000,0.201374,2.119993
150,10000000,0.183794,2.092215
150,10000000,0.186716,2.043828
150,10000000,0.187653,2.039221
150,10000000,0.182474,2.127218
150,10000000,0.183753,2.041801
152,10000000,0.191731,2.033735
152,10000000,0.191776,2.038707
152,10000000,0.187553,2.039945
152,10000000,0.191253,2.093077
152,10000000,0.188069,2.039381
152,10000000,0.180665,2.045086
152,10000000,0.189466,2.104951
152,10000000,0.185806,2.041676
152,10000000,0.186277,2.037764
152,10000000,0.187696,2.042080
154,10000000,0.197529,2.039213
154,10000000,0.182149,2.117679
154,10000000,0.190378,2.042062
154,10000000,0.187859,2.042566
154,10000000,0.193932,2.044131
154,10000000,0.210950,2.043637
154,10000000,0.191307,2.041269
154,10000000,0.192861,2.109774
154,10000000,0.189925,2.043536
154,10000000,0.188261,2.039697
156,10000000,0.200620,2.095848
156,10000000,0.208232,2.045557
156,10000000,0.198292,2.044069
156,10000000,0.196739,2.042865
156,10000000,0.197672,2.043880
156,10000000,0.200427,2.069659
156,10000000,0.194257,2.036679
156,10000000,0.201062,2.040022
156,10000000,0.205769,2.084059
156,10000000,0.227311,2.041125
158,10000000,0.246744,2.126764
158,10000000,0.193431,2.087983
158,10000000,0.187096,2.043941
158,10000000,0.194236,2.114216
158,10000000,0.188900,2.043037
158,10000000,0.194042,2.041901
158,10000000,0.199553,2.047012
158,10000000,0.192057,2.057249
158,10000000,0.218392,2.039947
158,10000000,0.192182,2.038658
160,10000000,0.209577,2.038442
160,10000000,0.213128,2.040539
160,10000000,0.203813,2.040680
160,10000000,0.209333,2.054297
160,10000000,0.211455,2.036211
160,10000000,0.214010,2.044461
160,10000000,0.204387,2.103344
160,10000000,0.207509,2.046026
160,10000000,0.204401,2.036900
160,10000000,0.203359,2.043700
162,10000000,0.210385,2.040905
162,10000000,0.203400,2.110334
162,10000000,0.204854,2.049229
162,10000000,0.206275,2.083613
162,10000000,0.213068,2.044261
162,10000000,0.209599,2.039431
162,10000000,0.210054,2.032698
162,10000000,0.205260,2.072404
162,10000000,0.213596,2.079847
162,10000000,0.217957,2.046356
164,10000000,0.195998,2.037967
164,10000000,0.205416,2.040240
164,10000000,0.232880,2.072686
164,10000000,0.235636,2.039237
164,10000000,0.235636,2.043075
164,10000000,0.223567,2.032504
164,10000000,0.207598,2.040784
164,10000000,0.213772,2.119939
164,10000000,0.202191,2.044176
164,10000000,0.206954,2.044033
166,10000000,0.228459,2.145480
166,10000000,0.217925,2.039669
166,10000000,0.216705,2.038749
166,10000000,0.221756,2.039863
166,10000000,0.226290,2.035015
166,10000000,0.229538,2.117314
166,10000000,0.238832,2.035004
166,10000000,0.229443,2.045201
166,10000000,0.215707,2.037702
166,10000000,0.215499,2.113374
168,10000000,0.199557,2.068628
168,10000000,0.212534,2.039393
168,10000000,0.207899,2.040631
168,10000000,0.206100,2.042608
168,10000000,0.211391,2.039732
168,10000000,0.201703,2.045576
168,10000000,0.222989,2.040553
168,10000000,0.203752,2.038472
168,10000000,0.196905,2.118916
168,10000000,0.206154,2.039210
170,10000000,0.214331,2.038699
170,10000000,0.210632,2.051457
170,10000000,0.211612,2.047399
170,10000000,0.206051,2.038647
170,10000000,0.220656,2.062547
170,10000000,0.207265,2.042613
170,10000000,0.209188,2.039248
170,10000000,0.207857,2.035776
170,10000000,0.215250,2.090381
170,10000000,0.210549,2.036649
172,10000000,0.219333,2.036137
172,10000000,0.216603,2.038098
172,10000000,0.218504,2.096810
172,10000000,0.217617,2.148039
172,10000000,0.211740,2.082475
172,10000000,0.223567,2.042886
172,10000000,0.223643,2.041940
172,10000000,0.216740,2.126863
172,10000000,0.214283,2.046285
172,10000000,0.220874,2.039724
174,10000000,0.215024,2.042522
174,10000000,0.217770,2.045848
174,10000000,0.214442,2.040777
